County,Region,State,Above or Below?,Avg. Adult Obesity (% of pop),Avg. Adult Smokers (% of pop),Avg. Food Insecure (% of pop),Avg. Physically Inactive (% of pop),Avg. Regional Obesity Rate,Latitude (generated),Longitude (generated)
Williamson,South,Tennessee,6% below,27%,16%,9%,23%,33%,35.8732,-86.9151
Walton,South,Florida,6% below,27%,18%,15%,24%,33%,30.6327,-86.1524
Lexington City,South,Virginia,6% below,27%,20%,18%,23%,33%,37.7802,-79.4439
Jeff Davis,South,Texas,6% below,27%,13%,12%,26%,33%,30.761,-104.158
Young,South,Texas,6% below,27%,15%,18%,29%,33%,33.1668,-98.6883
Highland,South,Virginia,6% below,27%,17%,9%,25%,33%,38.3866,-79.5178
Franklin,South,Virginia,6% below,27%,17%,11%,23%,33%,37.0076,-79.8606
Spencer,South,Kentucky,6% below,27%,19%,11%,30%,33%,38.0446,-85.3081
Smyth,South,Virginia,6% below,27%,21%,14%,27%,33%,36.823,-81.5102
Kendall,South,Texas,6% below,27%,13%,15%,22%,33%,29.93,-98.6715
Gwinnett,South,Georgia,6% below,27%,14%,13%,21%,33%,33.9601,-84.0453
Harris,South,Texas,6% below,27%,14%,18%,21%,33%,29.8346,-95.389
Williamsburg City,South,Virginia,6% below,27%,18%,17%,24%,33%,37.279,-76.6939
Lunenburg,South,Virginia,6% below,27%,20%,17%,28%,33%,36.9432,-78.2456
Monongalia,South,West Virginia,6% below,27%,22%,16%,26%,33%,39.5788,-79.9721
Bandera,South,Texas,5% below,28%,14%,17%,28%,33%,29.729,-99.2012
Montague,South,Texas,5% below,28%,15%,18%,25%,33%,33.7131,-97.732
Brown,South,Texas,5% below,28%,17%,18%,31%,33%,31.7664,-98.958
Warren,South,Virginia,5% below,28%,18%,10%,20%,33%,38.8968,-78.1977
Staunton City,South,Virginia,5% below,28%,19%,15%,26%,33%,38.1577,-79.0633
Volusia,South,Florida,5% below,28%,19%,16%,26%,33%,29.0205,-81.1398
Wilson,South,Texas,5% below,28%,13%,12%,28%,33%,29.1652,-98.0851
Brewster,South,Texas,5% below,28%,15%,15%,24%,33%,29.8231,-103.0823
Glynn,South,Georgia,5% below,28%,16%,18%,29%,33%,31.2334,-81.5432
Runnels,South,Texas,5% below,28%,16%,17%,28%,33%,31.839,-99.9766
Hillsborough,South,Florida,5% below,28%,17%,16%,24%,33%,27.9097,-82.2405
Nelson,South,Virginia,5% below,28%,18%,12%,21%,33%,37.7921,-78.9043
Rockwall,South,Texas,5% below,28%,13%,14%,29%,33%,32.8972,-96.4077
Austin,South,Texas,5% below,28%,13%,16%,27%,33%,29.8495,-96.275
Cabarrus,South,North Carolina,5% below,28%,18%,15%,24%,33%,35.3455,-80.5464
Loudon,South,Tennessee,5% below,28%,20%,13%,30%,33%,35.7566,-84.2886
Kenton,South,Kentucky,5% below,28%,22%,14%,24%,33%,38.9462,-84.535
Mills,South,Texas,5% below,28%,14%,16%,27%,33%,31.4778,-98.6518
Atascosa,South,Texas,5% below,28%,15%,11%,27%,33%,28.9347,-98.5218
Rockingham,South,Virginia,5% below,28%,16%,9%,24%,33%,38.5292,-78.9401
Presidio,South,Texas,5% below,28%,16%,14%,30%,33%,29.9461,-104.2391
Moore,South,North Carolina,5% below,28%,17%,15%,24%,33%,35.2784,-79.4623
Norton City,South,Virginia,5% below,28%,22%,16%,24%,33%,36.9301,-82.6355
Lee,South,Virginia,5% below,28%,24%,16%,29%,33%,36.7435,-82.9795
Montgomery,South,Texas,5% below,28%,14%,16%,23%,33%,30.3293,-95.5146
Aransas,South,Texas,5% below,28%,15%,18%,28%,33%,28.2209,-96.8754
Dallas,South,Texas,5% below,28%,15%,20%,25%,33%,32.7661,-96.7774
Clarke,South,Virginia,5% below,28%,16%,8%,23%,33%,39.1225,-77.9705
Davie,South,North Carolina,5% below,28%,16%,14%,27%,33%,35.9021,-80.5375
Chattahoochee,South,Georgia,5% below,28%,18%,23%,28%,33%,32.378,-84.8
St. Tammany,South,Louisiana,5% below,28%,19%,10%,25%,33%,30.4367,-89.9641
Tarrant,South,Texas,5% below,28%,15%,19%,26%,33%,32.7708,-97.2917
Lampasas,South,Texas,5% below,28%,15%,18%,28%,33%,31.2393,-98.2864
Gray,South,Texas,5% below,28%,16%,16%,30%,33%,35.3987,-100.8124
White,South,Georgia,5% below,28%,16%,15%,26%,33%,34.6527,-83.7674
Motley,South,Texas,5% below,28%,16%,20%,31%,33%,34.0728,-100.7798
Nassau,South,Florida,5% below,28%,17%,15%,24%,33%,30.5521,-81.8734
Orange,South,Virginia,5% below,28%,17%,11%,28%,33%,38.2553,-77.9908
Dare,South,North Carolina,5% below,28%,17%,15%,27%,33%,35.7741,-75.8627
Lubbock,South,Texas,5% below,28%,17%,18%,24%,33%,33.6145,-101.8206
Stephens,South,Georgia,5% below,28%,18%,16%,29%,33%,34.5742,-83.2794
Leon,South,Florida,5% below,28%,18%,21%,19%,33%,30.4796,-84.2219
Rutherford,South,North Carolina,5% below,28%,22%,19%,29%,33%,35.3967,-81.9147
Calloway,South,Kentucky,5% below,28%,22%,17%,23%,33%,36.6237,-88.2703
Bexar,South,Texas,5% below,28%,13%,14%,21%,33%,29.4377,-98.4722
Henrico,South,Virginia,5% below,28%,16%,13%,22%,33%,37.5317,-77.3031
Durham,South,North Carolina,5% below,28%,17%,18%,21%,33%,36.0511,-78.8681
Iredell,South,North Carolina,5% below,28%,17%,15%,23%,33%,35.7741,-80.9217
Smith,South,Texas,5% below,28%,17%,20%,28%,33%,32.4125,-95.2456
Mason,South,Texas,5% below,28%,12%,15%,29%,33%,30.7183,-99.2239
Bryan,South,Georgia,5% below,28%,15%,14%,26%,33%,31.9846,-81.4508
Morgan,South,Georgia,5% below,28%,16%,15%,27%,33%,33.6264,-83.5086
Hale,South,Texas,5% below,28%,18%,18%,30%,33%,34.068,-101.8263
Currituck,South,North Carolina,5% below,28%,18%,13%,25%,33%,36.3115,-75.9312
Lowndes,South,Georgia,5% below,28%,19%,21%,29%,33%,30.8282,-83.2435
Buena Vista City,South,Virginia,5% below,28%,22%,14%,24%,33%,37.7286,-79.3561
Sumter,South,Florida,5% below,28%,12%,13%,22%,33%,28.633,-82.1055
Paulding,South,Georgia,5% below,28%,15%,13%,26%,33%,33.9259,-84.8869
Pike,South,Georgia,5% below,28%,16%,13%,29%,33%,33.0887,-84.3827
Caldwell,South,Texas,5% below,28%,17%,16%,27%,33%,29.8519,-97.6266
Crawford,South,Georgia,5% below,28%,17%,17%,33%,33%,32.6937,-83.9622
Guilford,South,North Carolina,5% below,28%,19%,19%,23%,33%,36.0738,-79.7901
Benton,South,Arkansas,5% below,28%,19%,14%,25%,33%,36.2992,-94.2275
Sumner,South,Tennessee,5% below,28%,20%,13%,29%,33%,36.4488,-86.4726
Jefferson,South,Tennessee,5% below,28%,21%,16%,33%,33%,36.0438,-83.4658
Comal,South,Texas,5% below,29%,13%,15%,23%,33%,29.8168,-98.2891
Ellis,South,Texas,5% below,29%,14%,16%,25%,33%,32.3014,-96.7619
Foard,South,Texas,5% below,29%,14%,19%,29%,33%,33.9777,-99.7617
Mitchell,South,Texas,5% below,29%,15%,15%,27%,33%,32.2991,-100.9214
Franklin,South,Texas,5% below,29%,15%,18%,31%,33%,33.179,-95.2164
Clay,South,Florida,5% below,29%,16%,14%,25%,33%,29.9562,-81.8292
Greenville,South,South Carolina,5% below,29%,17%,14%,23%,33%,34.8506,-82.3557
Floyd,South,Georgia,5% below,29%,17%,17%,30%,33%,34.335,-85.194
Cherokee,South,North Carolina,5% below,29%,19%,16%,30%,33%,35.1398,-84.0769
Yoakum,South,Texas,4% below,29%,14%,9%,28%,33%,33.1614,-102.828
Scurry,South,Texas,4% below,29%,15%,14%,33%,33%,32.7541,-100.9166
Hansford,South,Texas,4% below,29%,15%,13%,28%,33%,36.2744,-101.3546
Jackson,South,Georgia,4% below,29%,16%,13%,28%,33%,34.1326,-83.5846
Isle of Wight,South,Virginia,4% below,29%,17%,11%,26%,33%,36.8934,-76.6913
Brunswick,South,North Carolina,4% below,29%,17%,16%,21%,33%,34.1198,-78.2512
Haralson,South,Georgia,4% below,29%,17%,17%,28%,33%,33.7836,-85.2066
Lamb,South,Texas,4% below,29%,17%,15%,27%,33%,34.0888,-102.3518
York,South,South Carolina,4% below,29%,18%,15%,22%,33%,34.9926,-81.1884
Clay,South,North Carolina,4% below,29%,18%,16%,32%,33%,35.0738,-83.7498
Manassas Park,South,Virginia,4% below,29%,17%,7%,23%,33%,38.7713,-77.4363
Williamson,South,Texas,4% below,29%,12%,15%,18%,33%,30.6541,-97.6352
Menard,South,Texas,4% below,29%,13%,17%,31%,33%,30.9164,-99.8004
King George,South,Virginia,4% below,29%,16%,10%,25%,33%,38.2712,-77.1806
Liberty,South,Texas,4% below,29%,17%,20%,28%,33%,30.1848,-94.8629
Forsyth,South,North Carolina,4% below,29%,18%,17%,24%,33%,36.1176,-80.2522
Cook,South,Georgia,4% below,29%,19%,19%,27%,33%,31.1889,-83.4296
Horry,South,South Carolina,4% below,29%,20%,15%,23%,33%,33.9375,-78.9789
Galax City,South,Virginia,4% below,29%,21%,14%,26%,33%,36.6593,-80.9279
Trigg,South,Kentucky,4% below,29%,21%,15%,30%,33%,36.8204,-87.9047
Knox,South,Tennessee,4% below,29%,22%,15%,30%,33%,35.9904,-83.8971
Winston,South,Alabama,4% below,29%,22%,17%,31%,33%,34.151,-87.3736
Andrews,South,Texas,4% below,29%,14%,10%,26%,33%,32.2885,-102.6379
Dawson,South,Georgia,4% below,29%,15%,13%,23%,33%,34.4804,-84.2231
Sabine,South,Texas,4% below,29%,16%,25%,30%,33%,31.3731,-93.8461
Val Verde,South,Texas,4% below,29%,16%,11%,28%,33%,29.7645,-101.0491
Chatham,South,Georgia,4% below,29%,17%,19%,24%,33%,32.0419,-81.1414
St. Lucie,South,Florida,4% below,29%,18%,18%,26%,33%,27.3823,-80.4869
Mitchell,South,North Carolina,4% below,29%,18%,17%,30%,33%,35.9917,-82.1267
Lincoln,South,North Carolina,4% below,29%,19%,15%,28%,33%,35.485,-81.2181
Pender,South,North Carolina,4% below,29%,19%,17%,26%,33%,34.5169,-77.9241
Tazewell,South,Virginia,4% below,29%,19%,13%,31%,33%,37.1358,-81.6058
Daviess,South,Kentucky,4% below,29%,21%,14%,25%,33%,37.7459,-87.0688
Lafayette,South,Louisiana,4% below,29%,23%,14%,26%,33%,30.2094,-92.1134
Throckmorton,South,Texas,4% below,29%,14%,18%,29%,33%,33.1541,-99.2122
Floyd,South,Texas,4% below,29%,16%,16%,28%,33%,34.069,-101.303
Wichita,South,Texas,4% below,29%,19%,20%,29%,33%,33.9973,-98.6882
Murray,South,Georgia,4% below,29%,19%,16%,32%,33%,34.786,-84.7429
Surry,South,North Carolina,4% below,29%,19%,16%,32%,33%,36.4,-80.7065
Faulkner,South,Arkansas,4% below,29%,22%,18%,30%,33%,35.1076,-92.3337
Coke,South,Texas,4% below,29%,13%,17%,30%,33%,31.8934,-100.5296
King,South,Texas,4% below,29%,14%,18%,30%,33%,33.6116,-100.2558
Columbia,South,Georgia,4% below,29%,14%,12%,23%,33%,33.5274,-82.2215
Dickens,South,Texas,4% below,29%,15%,18%,31%,33%,33.6166,-100.7789
Marion,South,Florida,4% below,29%,17%,17%,28%,33%,29.2407,-82.0227
Baxter,South,Arkansas,4% below,29%,20%,17%,32%,33%,36.233,-92.3172
Hudspeth,South,Texas,4% below,29%,21%,13%,26%,33%,31.3165,-105.4233
Glasscock,South,Texas,4% below,29%,12%,14%,25%,33%,31.8477,-101.5209
Crane,South,Texas,4% below,29%,13%,11%,26%,33%,31.3689,-102.5403
Edwards,South,Texas,4% below,29%,13%,12%,28%,33%,29.9663,-100.3478
Baylor,South,Texas,4% below,29%,15%,19%,26%,33%,33.616,-99.2137
Schley,South,Georgia,4% below,29%,18%,19%,28%,33%,32.2933,-84.3163
Polk,South,Georgia,4% below,29%,18%,16%,30%,33%,33.9981,-85.1824
Brooks,South,Texas,4% below,29%,19%,13%,29%,33%,27.0383,-98.2019
Willacy,South,Texas,4% below,29%,20%,16%,27%,33%,26.4556,-97.7389
Lincoln,South,Tennessee,4% below,29%,23%,14%,37%,33%,35.1805,-86.6012
Fayette,South,Georgia,4% below,29%,13%,12%,21%,33%,33.4038,-84.5001
Fisher,South,Texas,4% below,29%,14%,17%,29%,33%,32.7425,-100.4024
Crosby,South,Texas,4% below,29%,16%,16%,27%,33%,33.6161,-101.3
Craig,South,Virginia,4% below,29%,17%,10%,24%,33%,37.4878,-80.1897
Osceola,South,Florida,4% below,29%,19%,13%,27%,33%,27.9963,-81.1262
Echols,South,Georgia,4% below,29%,19%,14%,28%,33%,30.732,-82.9459
Bristol City,South,Virginia,4% below,29%,21%,16%,25%,33%,36.6362,-82.1156
Boone,South,Arkansas,4% below,29%,22%,18%,33%,33%,36.303,-93.0935
Duplin,South,North Carolina,4% below,29%,22%,18%,32%,33%,34.951,-77.9078
Warren,South,Kentucky,4% below,29%,23%,16%,27%,33%,36.9834,-86.4059
Montgomery,South,Tennessee,4% below,29%,23%,17%,29%,33%,36.477,-87.37
Washington,South,Arkansas,4% below,29%,23%,17%,26%,33%,35.9952,-94.2401
Jim Wells,South,Texas,4% below,29%,15%,10%,28%,33%,27.659,-98.0873
Delta,South,Texas,4% below,29%,16%,20%,32%,33%,33.357,-95.7245
Jack,South,Texas,4% below,29%,17%,17%,25%,33%,33.2355,-98.1705
Hopkins,South,Texas,4% below,29%,17%,19%,30%,33%,33.1751,-95.5852
Gordon,South,Georgia,4% below,29%,17%,15%,24%,33%,34.5244,-84.8721
Oconee,South,South Carolina,4% below,29%,20%,14%,24%,33%,34.7647,-83.1063
Lee,South,North Carolina,4% below,29%,20%,17%,25%,33%,35.4674,-79.1892
Graves,South,Kentucky,4% below,29%,21%,15%,29%,33%,36.7244,-88.6522
Ohio,South,West Virginia,4% below,29%,24%,14%,22%,33%,40.1011,-80.6141
Lincoln,South,Kentucky,4% below,29%,27%,18%,33%,33%,37.4428,-84.6585
Roberts,South,Texas,4% below,29%,12%,14%,28%,33%,35.8244,-100.8135
Irion,South,Texas,4% below,29%,13%,14%,29%,33%,31.3054,-100.9812
Carson,South,Texas,4% below,29%,13%,15%,31%,33%,35.3997,-101.3546
Fayette,South,Texas,4% below,29%,13%,16%,30%,33%,29.8921,-96.9151
Stonewall,South,Texas,4% below,29%,15%,17%,30%,33%,33.1802,-100.2535
Callahan,South,Texas,4% below,29%,15%,18%,28%,33%,32.2983,-99.3739
Schleicher,South,Texas,4% below,29%,15%,13%,27%,33%,30.9013,-100.539
Knox,South,Texas,4% below,29%,16%,18%,28%,33%,33.6159,-99.7337
Kinney,South,Texas,4% below,29%,16%,14%,29%,33%,29.3544,-100.4105
Grayson,South,Texas,4% below,29%,16%,20%,28%,33%,33.6831,-96.662
Bland,South,Virginia,4% below,29%,17%,11%,28%,33%,37.1272,-81.0776
Troup,South,Georgia,4% below,29%,18%,20%,29%,33%,33.0462,-85.0417
Covington City,South,Virginia,4% below,29%,19%,15%,26%,33%,37.7808,-79.9886
Spartanburg,South,South Carolina,4% below,29%,21%,15%,27%,33%,34.8864,-81.9815
Radford City,South,Virginia,4% below,29%,27%,20%,21%,33%,37.1206,-80.5616
Wheeler,South,Texas,3% below,30%,14%,15%,30%,33%,35.4067,-100.2697
Haskell,South,Texas,3% below,30%,15%,18%,28%,33%,33.1786,-99.7307
Hockley,South,Texas,3% below,30%,16%,14%,26%,33%,33.6124,-102.3431
Fluvanna,South,Virginia,3% below,30%,16%,8%,23%,33%,37.8456,-78.2738
Reeves,South,Texas,3% below,30%,16%,12%,29%,33%,31.3853,-103.6537
Kenedy,South,Texas,3% below,30%,16%,15%,28%,33%,26.9412,-97.7741
Cochran,South,Texas,3% below,30%,17%,13%,29%,33%,33.6054,-102.8284
Hart,South,Georgia,3% below,30%,17%,19%,29%,33%,34.3518,-82.9594
Seminole,South,Georgia,3% below,30%,17%,19%,32%,33%,30.8925,-84.8506
Craven,South,North Carolina,3% below,30%,18%,18%,29%,33%,35.2382,-77.1841
Duval,South,Florida,3% below,30%,18%,19%,24%,33%,30.3866,-81.7798
Page,South,Virginia,3% below,30%,19%,14%,25%,33%,38.6265,-78.4806
Richmond,South,Virginia,3% below,30%,19%,14%,25%,33%,37.9603,-76.7345
Essex,South,Virginia,3% below,30%,19%,14%,30%,33%,37.9457,-76.9732
Lee,South,Alabama,3% below,30%,20%,18%,23%,33%,32.5787,-85.3621
Buchanan,South,Virginia,3% below,30%,22%,15%,30%,33%,37.2884,-82.0618
Carter,South,Tennessee,3% below,30%,24%,17%,34%,33%,36.3073,-82.1558
Lee,South,Kentucky,3% below,30%,27%,22%,37%,33%,37.6037,-83.7001
Kent,South,Texas,3% below,30%,14%,16%,30%,33%,33.1797,-100.7781
Kimble,South,Texas,3% below,30%,14%,17%,27%,33%,30.4915,-99.7102
Wilbarger,South,Texas,3% below,30%,16%,18%,29%,33%,34.1523,-99.2142
Stephens,South,Texas,3% below,30%,17%,17%,27%,33%,32.7377,-98.836
Pierce,South,Georgia,3% below,30%,18%,16%,33%,33%,31.3665,-82.2213
Fredericksburg City,South,Virginia,3% below,30%,20%,16%,23%,33%,38.2983,-77.4857
Madison,South,Kentucky,3% below,30%,24%,17%,28%,33%,37.7168,-84.291
Richmond City,South,Virginia,3% below,30%,24%,21%,22%,33%,37.5241,-77.4608
Terrell,South,Texas,3% below,30%,13%,11%,30%,33%,30.2125,-102.1628
Harris,South,Georgia,3% below,30%,13%,11%,23%,33%,32.7279,-84.8993
Henry,South,Georgia,3% below,30%,15%,16%,24%,33%,33.4724,-84.1195
San Saba,South,Texas,3% below,30%,16%,17%,29%,33%,31.2064,-98.8303
Duval,South,Texas,3% below,30%,16%,9%,29%,33%,27.6613,-98.5174
Coleman,South,Texas,3% below,30%,16%,21%,30%,33%,31.7432,-99.4612
Long,South,Georgia,3% below,30%,18%,17%,28%,33%,31.7775,-81.797
Bailey,South,Texas,3% below,30%,18%,13%,28%,33%,34.0706,-102.8295
Whitfield,South,Georgia,3% below,30%,18%,13%,32%,33%,34.802,-84.9888
Caroline,South,Virginia,3% below,30%,19%,13%,22%,33%,38.0149,-77.3703
Zavala,South,Texas,3% below,30%,19%,16%,28%,33%,28.8648,-99.7623
Pendleton,South,Kentucky,3% below,30%,22%,15%,32%,33%,38.6954,-84.3654
Johnson,South,Tennessee,3% below,30%,24%,18%,36%,33%,36.4379,-81.852
Borden,South,Texas,3% below,30%,12%,15%,29%,33%,32.7474,-101.4322
Hartley,South,Texas,3% below,30%,14%,16%,28%,33%,35.852,-102.602
Oglethorpe,South,Georgia,3% below,30%,15%,14%,27%,33%,33.8688,-83.0903
Real,South,Texas,3% below,30%,15%,18%,29%,33%,29.853,-99.8126
Briscoe,South,Texas,3% below,30%,16%,17%,29%,33%,34.535,-101.2086
Palo Pinto,South,Texas,3% below,30%,17%,19%,31%,33%,32.7706,-98.3186
Carroll,South,Georgia,3% below,30%,18%,17%,29%,33%,33.6142,-85.1175
Potter,South,Texas,3% below,30%,18%,19%,32%,33%,35.3994,-101.8943
Stanly,South,North Carolina,3% below,30%,18%,16%,32%,33%,35.323,-80.2478
Irwin,South,Georgia,3% below,30%,18%,20%,30%,33%,31.6216,-83.2681
Lynchburg City,South,Virginia,3% below,30%,20%,18%,22%,33%,37.4008,-79.1841
Randolph,South,North Carolina,3% below,30%,20%,15%,31%,33%,35.7161,-79.8027
Dickenson,South,Virginia,3% below,30%,20%,14%,28%,33%,37.1314,-82.361
Prince Edward,South,Virginia,3% below,30%,21%,18%,25%,33%,37.2386,-78.4589
Harrison,South,Kentucky,3% below,30%,23%,17%,29%,33%,38.4301,-84.3284
Lipscomb,South,Texas,3% below,30%,14%,14%,28%,33%,36.3128,-100.2732
Archer,South,Texas,3% below,30%,14%,17%,29%,33%,33.6138,-98.6883
Somervell,South,Texas,3% below,30%,14%,16%,30%,33%,32.2014,-97.7856
Live Oak,South,Texas,3% below,30%,15%,14%,32%,33%,28.4249,-98.1422
Martin,South,Texas,3% below,30%,16%,13%,30%,33%,32.299,-101.9515
Childress,South,Texas,3% below,30%,16%,18%,30%,33%,34.5307,-100.2067
Boone,South,Kentucky,3% below,30%,17%,12%,25%,33%,38.9622,-84.721
Houston,South,Texas,3% below,30%,18%,24%,32%,33%,31.26,-95.4349
Suffolk City,South,Virginia,3% below,30%,19%,14%,25%,33%,36.7317,-76.6221
Hyde,South,North Carolina,3% below,30%,19%,20%,29%,33%,35.5164,-76.2309
Starr,South,Texas,3% below,30%,20%,15%,24%,33%,26.5105,-98.7859
Hamilton,South,Tennessee,3% below,30%,20%,17%,30%,33%,35.2216,-85.1533
Calhoun,South,Texas,3% below,30%,15%,14%,26%,33%,28.5138,-96.695
Wood,South,Texas,3% below,30%,15%,19%,29%,33%,32.7755,-95.3972
Lake,South,Florida,3% below,30%,15%,15%,26%,33%,28.8116,-81.6866
Cottle,South,Texas,3% below,30%,15%,19%,29%,33%,34.0712,-100.2829
Swisher,South,Texas,3% below,30%,16%,18%,30%,33%,34.535,-101.7351
King William,South,Virginia,3% below,30%,17%,10%,29%,33%,37.7166,-77.1211
Bell,South,Texas,3% below,30%,18%,21%,24%,33%,31.0402,-97.51
Zapata,South,Texas,3% below,30%,18%,10%,28%,33%,26.9454,-99.1717
Bleckley,South,Georgia,3% below,30%,18%,22%,29%,33%,32.4283,-83.345
Cleburne,South,Alabama,3% below,30%,19%,14%,33%,33%,33.7164,-85.4945
Waynesboro City,South,Virginia,3% below,30%,20%,15%,23%,33%,38.0661,-78.9052
Sequatchie,South,Tennessee,3% below,30%,23%,15%,36%,33%,35.358,-85.3691
Grundy,South,Tennessee,3% below,30%,26%,18%,41%,33%,35.3737,-85.6861
Rains,South,Texas,3% below,30%,14%,18%,29%,33%,32.8458,-95.8013
Reagan,South,Texas,3% below,30%,15%,8%,26%,33%,31.3693,-101.523
Collingsworth,South,Texas,3% below,30%,17%,16%,29%,33%,34.9674,-100.2701
Lumpkin,South,Georgia,3% below,30%,17%,15%,26%,33%,34.5765,-84.0269
Oldham,South,Kentucky,3% below,30%,18%,10%,23%,33%,38.4048,-85.4772
Maverick,South,Texas,3% below,30%,18%,13%,28%,33%,28.6426,-100.2812
Falls,South,Texas,3% below,30%,18%,22%,32%,33%,31.2537,-96.9393
Crisp,South,Georgia,3% below,30%,20%,24%,31%,33%,31.9167,-83.7665
Hancock,South,Mississippi,3% below,30%,20%,17%,32%,33%,30.4115,-89.5108
Sutton,South,Texas,3% below,30%,13%,10%,26%,33%,30.4919,-100.5386
Washington,South,Texas,3% below,30%,15%,20%,27%,33%,30.2215,-96.4299
Cooke,South,Texas,3% below,30%,15%,18%,26%,33%,33.6877,-97.2144
Jones,South,Texas,3% below,30%,17%,18%,29%,33%,32.7392,-99.8789
Bay,South,Florida,3% below,30%,17%,17%,27%,33%,30.2988,-85.5727
Greene,South,Georgia,3% below,30%,17%,18%,31%,33%,33.5582,-83.1539
Culpeper,South,Virginia,3% below,30%,18%,10%,25%,33%,38.5056,-78.0018
Davidson,South,North Carolina,3% below,30%,18%,16%,31%,33%,35.7656,-80.2531
Coffee,South,Alabama,3% below,30%,19%,16%,29%,33%,31.399,-85.993
Appomattox,South,Virginia,3% below,30%,20%,13%,26%,33%,37.3799,-78.7934
Hamblen,South,Tennessee,3% below,30%,23%,15%,32%,33%,36.2136,-83.2706
White,South,Tennessee,3% below,30%,24%,17%,37%,33%,35.9357,-85.4543
Burleson,South,Texas,3% below,30%,14%,18%,30%,33%,30.5133,-96.6354
Pecos,South,Texas,3% below,30%,15%,11%,27%,33%,30.7143,-102.6595
Bosque,South,Texas,3% below,30%,15%,18%,30%,33%,31.8982,-97.6486
Sherman,South,Texas,3% below,30%,16%,13%,28%,33%,36.2705,-101.8934
Hunt,South,Texas,3% below,30%,17%,20%,28%,33%,33.1232,-96.0795
Castro,South,Texas,3% below,30%,17%,14%,27%,33%,34.5304,-102.2618
McLennan,South,Texas,3% below,30%,17%,21%,28%,33%,31.5514,-97.2004
Pasco,South,Florida,3% below,30%,17%,15%,25%,33%,28.3248,-82.3938
Amherst,South,Virginia,3% below,30%,18%,12%,30%,33%,37.6,-79.1631
Elmore,South,Alabama,3% below,30%,19%,15%,30%,33%,32.5877,-86.1519
Wythe,South,Virginia,3% below,30%,20%,12%,27%,33%,36.9145,-81.0571
Westmoreland,South,Virginia,3% below,30%,20%,13%,30%,33%,38.122,-76.9656
McDowell,South,North Carolina,3% below,30%,20%,17%,31%,33%,35.7389,-82.0433
Clinch,South,Georgia,3% below,30%,21%,21%,30%,33%,30.8844,-82.7311
Carroll,South,Tennessee,3% below,30%,23%,18%,38%,33%,35.9663,-88.4557
Blanco,South,Texas,3% below,30%,13%,15%,24%,33%,30.2172,-98.4077
Upton,South,Texas,3% below,30%,15%,12%,28%,33%,31.369,-102.0443
Jim Hogg,South,Texas,3% below,30%,16%,6%,28%,33%,27.0717,-98.7105
Augusta,South,Virginia,3% below,30%,17%,9%,24%,33%,38.1803,-79.3064
Jeff Davis,South,Georgia,3% below,30%,18%,19%,31%,33%,31.8214,-82.666
La Salle,South,Texas,3% below,30%,18%,9%,26%,33%,28.301,-99.0981
Cumberland,South,Tennessee,3% below,30%,22%,15%,32%,33%,35.9474,-84.9777
Armstrong,South,Texas,2% below,31%,12%,16%,29%,33%,34.9658,-101.3572
Kaufman,South,Texas,2% below,31%,15%,18%,29%,33%,32.5982,-96.2991
Ochiltree,South,Texas,2% below,31%,15%,12%,29%,33%,36.2819,-100.8158
Colorado,South,Texas,2% below,31%,15%,17%,28%,33%,29.6055,-96.5236
Howard,South,Texas,2% below,31%,16%,16%,27%,33%,32.2992,-101.4356
Hill,South,Texas,2% below,31%,16%,19%,24%,33%,31.9888,-97.1227
Robertson,South,Texas,2% below,31%,16%,21%,28%,33%,31.0267,-96.5129
Glascock,South,Georgia,2% below,31%,16%,18%,27%,33%,33.2234,-82.6236
Newton,South,Texas,2% below,31%,17%,24%,31%,33%,30.7161,-93.745
Karnes,South,Texas,2% below,31%,17%,15%,31%,33%,28.9476,-97.9006
Kleberg,South,Texas,2% below,31%,17%,14%,27%,33%,27.4227,-97.9022
Escambia,South,Florida,2% below,31%,18%,19%,26%,33%,30.6538,-87.3304
Graham,South,North Carolina,2% below,31%,19%,19%,26%,33%,35.342,-83.8333
Taylor,South,Georgia,2% below,31%,20%,22%,32%,33%,32.56,-84.2449
Jackson,South,West Virginia,2% below,31%,23%,15%,31%,33%,38.8259,-81.6961
Larue,South,Kentucky,2% below,31%,23%,14%,30%,33%,37.5774,-85.7119
Refugio,South,Texas,2% below,31%,14%,13%,28%,33%,28.3093,-97.1471
Leon,South,Texas,2% below,31%,15%,18%,32%,33%,31.3146,-95.9962
Walton,South,Georgia,2% below,31%,15%,15%,24%,33%,33.7621,-83.7467
Ward,South,Texas,2% below,31%,16%,14%,28%,33%,31.4598,-103.1287
San Jacinto,South,Texas,2% below,31%,16%,20%,31%,33%,30.6136,-95.1783
Bedford,South,Virginia,2% below,31%,16%,9%,23%,33%,37.3125,-79.5652
Bee,South,Texas,2% below,31%,17%,15%,25%,33%,28.4248,-97.7101
Jasper,South,Georgia,2% below,31%,19%,17%,30%,33%,33.3294,-83.6903
Pickens,South,South Carolina,2% below,31%,19%,14%,23%,33%,34.8536,-82.6924
DeKalb,South,Alabama,2% below,31%,19%,13%,32%,33%,34.5306,-85.7226
Early,South,Georgia,2% below,31%,20%,23%,31%,33%,31.2959,-84.8656
Jackson,South,Alabama,2% below,31%,20%,14%,32%,33%,34.7224,-86.0339
Bibb,South,Georgia,2% below,31%,21%,23%,27%,33%,32.8066,-83.6856
